Post Title,Old Production URL,Old Path,Old Slug,WordPress Post ID,WordPress Slug,Intended Production URL,Match Status,Notes
For the Kid Who Always Asks Why: Science Books That Feel Like Real Adventures,https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures/,/blog/science-books-for-kids-that-feel-like-adventures/,science-books-for-kids-that-feel-like-adventures,84,science-books-for-kids-that-feel-like-adventures,https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
From Dog Man to Magic Tree House: The Reading Roadmap No One Gave You,https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,/blog/dog-man-to-magic-tree-house-reading-roadmap/,dog-man-to-magic-tree-house-reading-roadmap,56,dog-man-to-magic-tree-house-reading-roadmap,https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Adventures of Charlotte & Henry Just Got a Kirkus Review. Here’s What They Said.,https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry/,/blog/kirkus-review-adventures-of-charlotte-and-henry/,kirkus-review-adventures-of-charlotte-and-henry,72,kirkus-review-adventures-of-charlotte-and-henry,https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
What to Read After Dog Man: Bridge Books for Kids Who Love Graphic Novels,https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man/,/blog/what-to-read-after-dog-man/,what-to-read-after-dog-man,96,what-to-read-after-dog-man,https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The Best Books for 7-Year-Olds That Turn Them Into Readers,https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds/,/blog/best-books-for-7-year-olds/,best-books-for-7-year-olds,28,best-books-for-7-year-olds,https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The Best Summer Reading Books for Kids Ages 6–9 (That They’ll Actually Finish),https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9/,/blog/best-summer-reading-books-for-kids-ages-6-9/,best-summer-reading-books-for-kids-ages-6-9,38,best-summer-reading-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
8 Books Like Magic Tree House Your Kids Will Love Just as Much,https://www.braveheartspublishing.com/blog/books-like-magic-tree-house/,/blog/books-like-magic-tree-house/,books-like-magic-tree-house,46,books-like-magic-tree-house,https://www.braveheartspublishing.com/blog/books-like-magic-tree-house/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The Gap Between Picture Books and Chapter Books Is Real — Here’s What Goes There,https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books/,/blog/gap-between-picture-books-and-chapter-books/,gap-between-picture-books-and-chapter-books,64,gap-between-picture-books-and-chapter-books,https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book.,https://www.braveheartspublishing.com/blog/why-i-wrote-this-book/,/blog/why-i-wrote-this-book/,why-i-wrote-this-book,98,why-i-wrote-this-book,https://www.braveheartspublishing.com/blog/why-i-wrote-this-book/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
I Spent Two Years Picking the Wrong Books for Kids. Then I Found their Lexile Scores.,https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score/,/blog/finding-right-books-with-lexile-score/,finding-right-books-with-lexile-score,58,finding-right-books-with-lexile-score,https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
