Post Title,Old URL,New URL,Match Confirmed,URL Status,Redirect Required,Review Required,Notes
For the Kid Who Always Asks Why: Science Books That Feel Like Real Adventures,https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures,https://www.braveheartspublishing.com/science-books-for-kids-that-feel-like-adventures/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
From Dog Man to Magic Tree House: The Reading Roadmap No One Gave You,https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap,https://www.braveheartspublishing.com/dog-man-to-magic-tree-house-reading-roadmap/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Adventures of Charlotte & Henry Just Got a Kirkus Review. Here’s What They Said.,https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry,https://www.braveheartspublishing.com/kirkus-review-adventures-of-charlotte-and-henry/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
What to Read After Dog Man: Bridge Books for Kids Who Love Graphic Novels,https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man,https://www.braveheartspublishing.com/what-to-read-after-dog-man/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The Best Books for 7-Year-Olds That Turn Them Into Readers,https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds,https://www.braveheartspublishing.com/best-books-for-7-year-olds/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The Best Summer Reading Books for Kids Ages 6–9 (That They’ll Actually Finish),https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/best-summer-reading-books-for-kids-ages-6-9/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
8 Books Like Magic Tree House Your Kids Will Love Just as Much,https://www.braveheartspublishing.com/blog/books-like-magic-tree-house,https://www.braveheartspublishing.com/books-like-magic-tree-house/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The Gap Between Picture Books and Chapter Books Is Real — Here’s What Goes There,https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books,https://www.braveheartspublishing.com/gap-between-picture-books-and-chapter-books/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book.,https://www.braveheartspublishing.com/blog/why-i-wrote-this-book,https://www.braveheartspublishing.com/why-i-wrote-this-book/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
I Spent Two Years Picking the Wrong Books for Kids. Then I Found their Lexile Scores.,https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score,https://www.braveheartspublishing.com/finding-right-books-with-lexile-score/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
