source_type,source_id,source_url,linked_url,http_status,final_url,redirect_hops,issue_type,recommended_action
page,108,https://staging2.braveheartspublishing.com/read-alouds/,https://staging2.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3,301,https://staging2.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3/,1,staging_domain,"Update source to final URL"
page,108,https://staging2.braveheartspublishing.com/read-alouds/,https://staging2.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you,301,https://staging2.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you/,1,staging_domain,"Update source to final URL"
page,108,https://staging2.braveheartspublishing.com/read-alouds/,https://staging2.braveheartspublishing.com/blog/free-teachers-guide-mariana-trench,301,https://staging2.braveheartspublishing.com/blog/free-teachers-guide-mariana-trench/,1,staging_domain,"Update source to final URL"
page,108,https://staging2.braveheartspublishing.com/read-alouds/,https://staging2.braveheartspublishing.com/blog/why-stem-storytelling-builds-braver-kids,301,https://staging2.braveheartspublishing.com/blog/why-stem-storytelling-builds-braver-kids/,1,staging_domain,"Update source to final URL"
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book,301,https://staging2.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book/,1,staging_domain,"Update source to final URL"
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/how-stories-build-resilience-in-children,301,https://staging2.braveheartspublishing.com/blog/how-stories-build-resilience-in-children/,1,staging_domain,"Update source to final URL"
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/adventure-books-for-kids-ages-6-9,301,https://staging2.braveheartspublishing.com/blog/adventure-books-for-kids-ages-6-9/,1,staging_domain,"Update source to final URL"
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/first-real-chapter-book-for-kids,301,https://staging2.braveheartspublishing.com/blog/first-real-chapter-book-for-kids/,1,staging_domain,"Update source to final URL"
page,107,https://staging2.braveheartspublishing.com/reluctant-readers/,https://staging2.braveheartspublishing.com/blog/best-early-chapter-books-for-6-year-olds,301,https://staging2.braveheartspublishing.com/blog/best-early-chapter-books-for-6-year-olds/,1,staging_domain,"Update source to final URL"
page,106,https://staging2.braveheartspublishing.com/mariana-trench/,https://staging2.braveheartspublishing.com/blog/best-ocean-books-for-kids-ages-6-9,301,https://staging2.braveheartspublishing.com/blog/best-ocean-books-for-kids-ages-6-9/,1,staging_domain,"Update source to final URL"
page,106,https://staging2.braveheartspublishing.com/mariana-trench/,https://staging2.braveheartspublishing.com/blog/mariana-trench-facts-for-kids,301,https://staging2.braveheartspublishing.com/blog/mariana-trench-facts-for-kids/,1,staging_domain,"Update source to final URL"
page,106,https://staging2.braveheartspublishing.com/mariana-trench/,https://staging2.braveheartspublishing.com/blog/how-deep-is-the-mariana-trench-for-kids,301,https://staging2.braveheartspublishing.com/blog/how-deep-is-the-mariana-trench-for-kids/,1,staging_domain,"Update source to final URL"
page,106,https://staging2.braveheartspublishing.com/mariana-trench/,https://staging2.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids,301,https://staging2.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids/,1,staging_domain,"Update source to final URL"
page,105,https://staging2.braveheartspublishing.com/reading-levels/,https://staging2.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what,301,https://staging2.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what/,1,staging_domain,"Update source to final URL"
page,105,https://staging2.braveheartspublishing.com/reading-levels/,https://staging2.braveheartspublishing.com/blog/what-is-a-lexile-score,301,https://staging2.braveheartspublishing.com/blog/what-is-a-lexile-score/,1,staging_domain,"Update source to final URL"
page,105,https://staging2.braveheartspublishing.com/reading-levels/,https://staging2.braveheartspublishing.com/blog/reading-level-by-grade-chart,301,https://staging2.braveheartspublishing.com/blog/reading-level-by-grade-chart/,1,staging_domain,"Update source to final URL"
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/bridge-books-for-struggling-readers,301,https://staging2.braveheartspublishing.com/blog/bridge-books-for-struggling-readers/,1,staging_domain,"Update source to final URL"
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/top-bridge-books-for-kids,301,https://staging2.braveheartspublishing.com/blog/top-bridge-books-for-kids/,1,staging_domain,"Update source to final URL"
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/bridge-books-for-kids,301,https://staging2.braveheartspublishing.com/blog/bridge-books-for-kids/,1,staging_domain,"Update source to final URL"
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/what-are-bridge-books-guide-for-parents-and-teachers,301,https://staging2.braveheartspublishing.com/blog/what-are-bridge-books-guide-for-parents-and-teachers/,1,staging_domain,"Update source to final URL"
page,104,https://staging2.braveheartspublishing.com/bridge-books/,https://staging2.braveheartspublishing.com/blog/bridge-books-for-early-readers,301,https://staging2.braveheartspublishing.com/blog/bridge-books-for-early-readers/,1,staging_domain,"Update source to final URL"
