Old URL,Proposed Target,Source Topic,Target Topic,Intent Match,Relevance Score,Decision,Revised Target,Reason,Notes
https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures,https://www.braveheartspublishing.com/science-books-for-kids-that-feel-like-adventures/,Best Science Books for Kids That Feel Like Real Adventures — Brave Hearts Publishing,For the Kid Who Always Asks Why: Science Books That Feel Like Real Adventures,strong,59,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap,https://www.braveheartspublishing.com/dog-man-to-magic-tree-house-reading-roadmap/,From Dog Man to Magic Tree House: The Reading Roadmap — Brave Hearts Publishing,From Dog Man to Magic Tree House: The Reading Roadmap No One Gave You,strong,81,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry,https://www.braveheartspublishing.com/kirkus-review-adventures-of-charlotte-and-henry/,Adventures of Charlotte & Henry Gets a Kirkus GET IT Review — Brave Hearts Publishing,Adventures of Charlotte & Henry Just Got a Kirkus Review. Here’s What They Said.,strong,71,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man,https://www.braveheartspublishing.com/what-to-read-after-dog-man/,What to Read After Dog Man: Bridge Books for Kids — Brave Hearts Publishing,What to Read After Dog Man: Bridge Books for Kids Who Love Graphic Novels,strong,79,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds,https://www.braveheartspublishing.com/best-books-for-7-year-olds/,Best Books for 7 Year Olds That Turn Kids Into Readers — Brave Hearts Publishing,The Best Books for 7-Year-Olds That Turn Them Into Readers,strong,74,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/best-summer-reading-books-for-kids-ages-6-9/,Best Summer Reading Books for Kids Ages 6–9 — Brave Hearts Publishing,The Best Summer Reading Books for Kids Ages 6–9 (That They’ll Actually Finish),strong,76,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/books-like-magic-tree-house,https://www.braveheartspublishing.com/books-like-magic-tree-house/,8 Books Like Magic Tree House Your Kids Will Love Just as Much Page — Brave Hearts Publishing,8 Books Like Magic Tree House Your Kids Will Love Just as Much,strong,81,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books,https://www.braveheartspublishing.com/gap-between-picture-books-and-chapter-books/,The Gap Between Picture Books and Chapter Books Is Real — Here's What Goes There — Brave Hearts Publishing,The Gap Between Picture Books and Chapter Books Is Real — Here’s What Goes There,strong,87,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/why-i-wrote-this-book,https://www.braveheartspublishing.com/why-i-wrote-this-book/,Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book. — Brave Hearts Publishing,Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book.,strong,85,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score,https://www.braveheartspublishing.com/finding-right-books-with-lexile-score/,I Spent Two Years Picking the Wrong Books. One Number Changed That. — Brave Hearts Publishing,I Spent Two Years Picking the Wrong Books for Kids. Then I Found their Lexile Scores.,strong,65,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids,https://www.braveheartspublishing.com/mount-everest-facts-for-kids/,10 Mount Everest Facts for Kids That Will Make Their Jaw Drop | Ages 6–9 — Brave Hearts Publishing,10 Mount Everest Facts for Kids That Will Make Their Jaw Drop,strong,79,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/bridge-books-for-struggling-readers,https://www.braveheartspublishing.com/bridge-books-for-struggling-readers/,Bridge Books for Struggling Readers: A Complete Parent Guide | Brave Hearts Publishing — Brave Hearts Publishing,Bridge Books for Struggling Readers: The Parent’s Complete Roadmap,strong,56,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/my-child-hates-reading-what-to-do,https://www.braveheartspublishing.com/my-child-hates-reading-what-to-do/,My Child Hates Reading: What Actually Works | Brave Hearts Publishing — Brave Hearts Publishing,My Child Hates Reading: What Actually Works,strong,64,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book,https://www.braveheartspublishing.com/how-to-pick-a-read-aloud-book/,How to Pick a Read-Aloud Book That Keeps a Whole Class Listening — Brave Hearts Publishing,How to Pick a Read-Aloud Book That Keeps a Whole Class Listening,strong,84,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/reading-level-by-grade-chart,https://www.braveheartspublishing.com/reading-level-by-grade-chart/,Reading Level Chart by Grade: What Level Should My Child Be At? — Brave Hearts Publishing,Reading Level Chart by Grade: What Level Should My Child Be At??,strong,84,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids,https://www.braveheartspublishing.com/what-is-the-mariana-trench-for-kids/,What Is the Mariana Trench? Everything Kids (and Parents) Need to Know — Brave Hearts Publishing,What Is the Mariana Trench? Everything Kids (and Parents) Need to Know,strong,85,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
https://www.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3,https://www.braveheartspublishing.com/best-read-aloud-books-for-classroom-grades-1-3/,Best Read Aloud Books for Elementary Classrooms — Grades 1–3 — Brave Hearts Publishing,The Best Read Aloud Books for Elementary Classrooms (Grades 1–3),strong,81,APPROVED,,"Same slug, compatible object, HTTP 200, and matching title intent",Approval is planning-only; not imported
